4SGM_SKU,Product ID
55914,11000016840051
76638,11000017161306
62192,11000017161307
62190,11000017166298
76644,11000017166299
49505,11000017176282
95614,11000017169300
14294,11000017202270
76639,11000017209241
75337,11000017143871
35198,11000017143873
26514,11000017148351
74347,11000017144918
34806,11000017162308
68840,11000017169301
34810,11000017175293
49515,11000017179271
95616,11000017200255
76643,11000017195258
79086,11000017203279
76641,11000017211272
79824,11000017235212
62189,11000017150313
62191,11000017156325
79085,11000017153329
34803,11000017165300
79087,11000017167287
51428,11000017189281
52893,11000017185314
69910,11000017205304
34807,11000017204263
45269,11000017218234
79829,11000017212263
62193,11000017247209
34825,11000017232240
49498,11000017248181
78251,11000017177254
60785,11000017167262
71610,11000017163289
78283,11000017234207
78282,11000017183253
96173,11000017239193
78294,11000017150293
78288,11000017159306
78284,11000017161285
96095,11000017165261
81376X,11000017168273
60755,11000017171326
96175,11000017193272
74036,11000017196221
18433,11000017193273
71929,11000017209215
96091,11000017206216
96172,11000017214217
18434,11000017207253
78255,11000017215227
78270,11000017152289
96079,11000017215228
72059,11000017228216
96130,11000017141805
96149,11000017247174
71629,11000017144882
71615,11000017152290
78257,11000017170287
78286,11000017175264
77966,11000017182254
96147,11000017178295
78243,11000017241195
74020,11000017241194
96295,11000016829928
60610,11000016793931
46099,11000016801996
75658,11000016884004
78956,11000016742975
60606,11000016879012
51085,11000016732966
32927,11000016731998
51078,11000016876008
60596,11000016885002
12297,11000016856021
75660,11000016842054
55912,11000016868012
75656,11000016827939
75012,11000016754996
96316,11000016798979
60591,11000016767974
46713,11000016830933
71494,11000016849034
47293,11000016801997
75410,11000016849033
78971,11000016836397
60611,11000016780976
56024,11000016839059
60612,11000016883008
74457,11000016847043
60652,11000016885005
60683,11000016811988
60603,11000016727974
33041,11000016727973
60595,11000016834459
72890,11000016733998
32366,11000016837401
33204,11000016868013
81696X,11000016883007
78955,11000016731999
32908,11000016793930
60594,11000016830934
75755,11000016865017
60609,11000016846035
76655,11000016735981
32931,11000016766973
12666,11000016848030
46712,11000016855027
78970,11000016858027
60601,11000016734984
60685,11000016836396
50826,11000016810983
75406,11000016853023
28981,11000016856023
32075,11000016803897
32063,11000016881008
93867,11000016800995
18247,11000016739963
69752,11000016811987
69756,11000016798980
69753,11000016885003
69754,11000016746968
69755,11000016881006
59115,11000016872014
13513,11000016873016
93865,11000016840052
93866,11000016724947
51175,11000016851027
18248,11000016852025
13536,11000016747992
17627,11000016874008
18238,11000016885004
93732,11000016864013
68636,11000016732968
46696,11000016860021
93733,11000016765995
46698,11000016878009
90868,11000016845047
66406,11000016809997
28850,11000016854030
18162,11000016674198
66403,11000016883005
39510,11000016658227
39553,11000016701196
24366,11000016624247
27547,11000016683214
18160,11000016634193
18126,11000016629230
19400,11000016639207
18119,11000016699211
66399,11000016706172
20296,11000016686216
44463,11000016642204
27541,11000016641208
57053,11000016685201
17210,11000016680208
20345,11000016688190
39509,11000016701195
28851,11000016705206
39571,11000016701197
19397,11000016716209
46977,11000016710174
18159,11000016616226
27875,11000016717195
18144,11000016621219
58055,11000016641209
27534,11000016644183
27536,11000016647210
24486,11000016661203
46976,11000016652200
32425,11000016671190
15828,11000016666206
